wban,state,name,lat,lon
14786,NY,NEW YORK FLOYD BENNE,40.583,-73.883
99999,NY,NTPD AIR OPS HELIPORT,40.6,-73.9
99999,NY,BERGEN POINT,40.639,-74.146
94789,NY,JOHN F KENNEDY INTERNATIONAL,40.639,-73.764
94789,NY,NEW YORK FORT TOTTEN,40.639,-73.762
99999,NY,THE BATTERY,40.701,-74.014
99999,NY,PORT AUTH DOWNTN MANHATTAN WA,40.701,-74.009
94728,NY,CENTRAL PARK,40.779,-73.969
94728,NY,NEW YORK CENTRAL PARK,40.779,-73.969
94728,NY,NEW YORK CENTRAL PARK,40.779,-73.969
94728,NY,NYC CENTRAL PARK,40.779,-73.969
14732,NY,LA GUARDIA AIRPORT,40.779,-73.88
14732,NY,NEW YORK LAGUARDIA ARPT,40.779,-73.88
99999,NY,KINGS POINT,40.8,-73.77
